setup,punchline
Why did the half blind man fall in the well?,Because he couldn't see that well!
What do you do when you see a space man?,"Park your car, man."
What do you call a factory that sells passable products?,A satisfactory
What did the router say to the doctor?,It hurts when IP.
Did you hear about the Viking who was reincarnated?,He was Bjorn again
If you see a robbery at an Apple Store...,Does that make you an iWitness?
What did the ocean say to the shore?,"Nothing, it just waved."
What do you call a droid that takes the long way around?,R2 detour.
Why did the cookie cry?,It was feeling crumby.
Why do ducks make great detectives?,They always quack the case.
